,GEO,SEX,AGE_M3,VALUE
4913,DE25C,T,TOTAL,92369.0
4914,DE26,F,18-29,94773.0
4915,DE26,F,30-39,72728.0
4916,DE26,F,40+,389125.0
4917,DE26,F,<18,105889.0
4918,DE26,F,TOTAL,662515.0
4919,DE26,M,18-29,97341.0
4920,DE26,M,30-39,72557.0
4921,DE26,M,40+,356425.0
4922,DE26,M,<18,111808.0
4923,DE26,M,TOTAL,638131.0
4924,DE26,T,18-29,160793.0
4925,DE26,T,30-39,145285.0
4926,DE26,T,40+,745550.0
4927,DE26,T,TOTAL,1300646.0
4928,DE261,F,18-29,4949.0
4929,DE261,F,30-39,4310.0
4930,DE261,F,40+,20418.0
4931,DE261,F,<18,5451.0
4932,DE261,F,TOTAL,35128.0
4933,DE261,M,18-29,4857.0
4934,DE261,M,30-39,4386.0
4935,DE261,M,40+,17537.0
4936,DE261,M,<18,5451.0
4937,DE261,M,TOTAL,32231.0
4938,DE261,T,18-29,8498.0
4939,DE261,T,30-39,8696.0
4940,DE261,T,40+,37955.0
4941,DE261,T,TOTAL,67359.0
4942,DE262,F,18-29,3814.0
4943,DE262,F,30-39,2914.0
4944,DE262,F,40+,16533.0
4945,DE262,F,<18,3961.0
4946,DE262,F,TOTAL,27222.0
4947,DE262,M,18-29,4159.0
4948,DE262,M,30-39,2873.0
4949,DE262,M,40+,13706.0
4950,DE262,M,<18,4183.0
4951,DE262,M,TOTAL,24921.0
4952,DE262,T,18-29,6791.0
4953,DE262,T,30-39,5787.0
4954,DE262,T,40+,30239.0
4955,DE262,T,TOTAL,52143.0
4956,DE263,F,18-29,17410.0
4957,DE263,F,30-39,7132.0
4958,DE263,F,40+,34474.0
4959,DE263,F,<18,7146.0
4960,DE263,F,TOTAL,66162.0
4961,DE263,M,18-29,13718.0
4962,DE263,M,30-39,8131.0
4963,DE263,M,40+,28422.0
4964,DE263,M,<18,7864.0
4965,DE263,M,TOTAL,58135.0
4966,DE263,T,18-29,28567.0
4967,DE263,T,30-39,15263.0
4968,DE263,T,40+,62896.0
4969,DE263,T,TOTAL,124297.0
4970,DE264,F,18-29,11164.0
4971,DE264,F,30-39,9598.0
4972,DE264,F,40+,51983.0
4973,DE264,F,<18,14584.0
4974,DE264,F,TOTAL,87329.0
